 ID Command line                          Date and time       Action(s) Altered
148 dnf upgrade -y                        2025-02-16 05:55:02               296
147 dnf install ghostty                   2025-02-12 08:17:30                 1
146 dnf install gtk4-devel zig libadwaita 2025-02-12 07:27:24                24
145 dnf upgrade -y                        2025-02-12 06:46:18                52
144 dnf install python3-tkinter           2025-02-11 03:15:24                 2
143 dnf install gtk4-devel                2025-02-09 18:31:06                45
142 /usr/bin/dnf -y install /home/nachmen 2025-02-09 09:53:57                 2
141 dnf reinstall virt-install-5.0.0-1.fc 2025-02-09 09:38:32                12
140 dnf install @virtualization           2025-02-09 09:36:40                 1
139 dnf remove helix-25.01.1-1.fc41.x86_6 2025-02-09 08:20:49                 1
138 dnf upgrade -y                        2025-02-09 06:37:24                52
137 dnf install lazydocker                2025-02-07 09:53:00                 1
136 dnf install lazygit                   2025-02-07 09:50:50                 1
135 dnf upgrade -y                        2025-02-07 08:56:21               102
134 dnf upgrade -y                        2025-02-06 19:48:35                42
133 dnf install keepassxc                 2025-02-04 11:38:36                 2
132 dnf install meld                      2025-02-02 07:55:20                 1
131 dnf install thunderbird               2025-02-01 21:30:57                 2
130 dnf upgrade -y                        2025-02-01 21:20:42                28
129 dnf upgrade -y                        2025-01-31 10:13:26                60
128 dnf upgrade -y                        2025-01-30 19:44:34                34
127 dnf install terminator                2025-01-29 20:18:27                 3
126 dnf install sysprof                   2025-01-29 07:41:10                 5
125 dnf remove proton-mail.x86_64         2025-01-29 07:12:57                 1
124 dnf install helix                     2025-01-28 17:44:18                 1
123 dnf install d-spy                     2025-01-28 08:07:28                 2
122 dnf upgrade -y                        2025-01-28 06:54:04                26
121 dnf install nasm                      2025-01-27 09:18:47                 1
120 dnf install @virtualization           2025-01-26 06:30:11                10
119 dnf install libvirt                   2025-01-26 06:05:03                 7
118 dnf reinstall gnome-boxes             2025-01-26 05:58:05                 2
117 dnf upgrade                           2025-01-26 05:42:09                38
116 dnf upgrade                           2025-01-24 12:35:23               102
115 dnf upgrade -y                        2025-01-23 07:59:22                48
114 dnf remove virt-manager               2025-01-22 09:16:08                 8
113 dnf install virt-manager              2025-01-22 09:14:53                 8
112 dnf remove libvirt                    2025-01-22 09:14:16                 7
111 dnf install libvirt                   2025-01-22 09:13:18                 7
110 dnf remove zsh-syntax-highlighting zs 2025-01-21 20:13:28                 2
109 dnf install zsh-syntax-highlighting z 2025-01-21 19:54:16                 2
108 dnf install btop                      2025-01-21 19:38:13                 1
107 dnf install zellij                    2025-01-21 19:26:26                 1
106 dnf install vivaldi-stable-7.0.3495.2 2025-01-21 11:29:55                 1
105 dnf upgrade                           2025-01-21 09:04:25                16
104 dnf install gnome-boxes               2025-01-20 15:45:40               142
103 dnf remove gnome-boxes                2025-01-20 15:33:21               142
102 dnf upgrade                           2025-01-20 07:04:34                24
101 dnf upgrade                           2025-01-18 20:36:42                 6
100 dnf upgrade                           2025-01-17 09:02:45                61
 99 dnf upgrade -y                        2025-01-16 12:50:26                 2
 98 dnf upgrade -y                        2025-01-16 08:12:45                 2
 97 dnf install bpytop                    2025-01-15 12:37:42                 2
 96 dnf install lolcat                    2025-01-15 11:39:48                 1
 95 dnf install cool-retro-term.x86_64    2025-01-15 11:32:30                 5
 94 dnf upgrade -y                        2025-01-15 06:08:20                79
 93 dnf install brave-browser             2025-01-14 11:55:26                 2
 92 dnf upgrade -y                        2025-01-14 06:13:34                20
 91 dnf reinstall epiphany.x86_64 epiphan 2025-01-13 15:29:34                 4
 90 dnf remove vivaldi-stable.x86_64      2025-01-13 11:46:15                 1
 89 /usr/bin/dnf -y install /home/nachmen 2025-01-13 05:42:51                 2
 88 dnf upgrade -y                        2025-01-13 05:36:34               106
 87 dnf install nmap                      2025-01-12 09:38:09                 1
 86 dnf install wireshark                 2025-01-11 21:48:27                 9
 85 dnf upgrade -y                        2025-01-11 18:22:20                82
 84 dnf upgrade -y                        2025-01-10 11:53:45                36
 83 dnf upgrade -y                        2025-01-09 08:58:18                 2
 82 dnf upgrade -y                        2025-01-09 07:15:02                60
